"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","70.00","69.90","71.30","69.00","213.38K","1.01%"
"12/29/2022","69.30","69.90","71.00","68.50","129.34K","0.00%"
"12/28/2022","69.30","71.20","72.50","69.00","150.16K","-2.39%"
"12/27/2022","71.00","68.90","74.90","68.90","166.82K","2.16%"
"12/23/2022","69.50","69.40","70.00","67.70","122.55K","-0.14%"
"12/22/2022","69.60","71.00","71.50","68.80","65.90K","-1.97%"
"12/21/2022","71.00","70.60","72.10","70.00","138.50K","0.28%"
"12/20/2022","70.80","72.60","74.30","70.60","143.70K","-2.34%"
"12/19/2022","72.50","76.30","76.50","71.60","199.85K","-4.61%"
"12/16/2022","76.00","75.90","76.00","74.00","188.02K","0.00%"
"12/15/2022","76.00","77.50","78.50","75.00","164.19K","-2.19%"
"12/14/2022","77.70","77.90","79.00","76.00","163.75K","-0.26%"
"12/13/2022","77.90","77.90","78.20","76.00","144.60K","-0.38%"
"12/12/2022","78.20","79.00","81.00","77.50","119.81K","-1.01%"
"12/09/2022","79.00","78.80","80.80","78.00","158.00K","-0.25%"
"12/08/2022","79.20","79.50","82.40","79.00","270.27K","-0.75%"
"12/06/2022","79.80","82.50","82.50","79.00","344.69K","-2.09%"
"12/05/2022","81.50","82.50","83.40","81.00","298.33K","-1.09%"
"12/02/2022","82.40","84.10","84.50","81.00","283.30K","-0.72%"
"12/01/2022","83.00","85.00","87.50","81.50","611.94K","-1.07%"
"11/30/2022","83.90","79.80","87.00","77.50","1.25M","6.74%"
"11/29/2022","78.60","83.00","83.00","75.70","781.05K","-3.91%"
"11/28/2022","81.80","76.00","82.00","75.00","1.08M","7.21%"
"11/25/2022","76.30","70.10","76.50","69.70","925.10K","9.00%"
"11/24/2022","70.00","74.00","74.00","69.50","695.82K","-5.41%"
"11/23/2022","74.00","70.00","74.70","68.10","754.64K","8.03%"
"11/22/2022","68.50","63.90","68.90","63.90","352.51K","7.37%"
"11/21/2022","63.80","63.20","65.50","61.50","211.59K","0.00%"
"11/18/2022","63.80","68.50","68.50","62.20","412.56K","-6.86%"
"11/17/2022","68.50","72.50","72.50","67.00","361.73K","-1.86%"
"11/16/2022","69.80","73.00","74.00","67.10","779.46K","-7.06%"
"11/15/2022","75.10","76.50","78.90","75.00","319.32K","-1.57%"
"11/14/2022","76.30","78.90","78.90","75.10","314.60K","0.39%"
"11/11/2022","76.00","72.50","80.10","72.50","721.51K","5.56%"
"11/10/2022","72.00","73.20","73.50","70.10","334.95K","0.42%"
"11/09/2022","71.70","72.00","74.30","68.80","449.73K","0.28%"
"11/08/2022","71.50","77.50","78.70","70.50","875.20K","-7.14%"
"11/04/2022","77.00","83.50","83.50","77.00","524.46K","-5.52%"
"11/03/2022","81.50","83.20","83.90","80.00","214.34K","-1.81%"
"11/02/2022","83.00","85.40","86.00","82.90","125.52K","-1.07%"
"11/01/2022","83.90","86.00","87.50","83.80","145.77K","-1.29%"
"10/31/2022","85.00","86.30","88.90","84.00","228.27K","-2.07%"
"10/28/2022","86.80","91.00","92.40","86.10","250.79K","-3.66%"
"10/27/2022","90.10","94.00","94.00","90.00","337.77K","0.22%"
"10/26/2022","89.90","87.70","91.50","82.00","588.53K","2.39%"
"10/25/2022","87.80","89.00","91.00","84.00","459.69K","-1.68%"
"10/21/2022","89.30","89.00","93.00","86.60","449.28K","-0.78%"
"10/20/2022","90.00","95.00","95.00","89.00","332.33K","-3.12%"
"10/19/2022","92.90","95.00","96.00","92.50","235.09K","-1.69%"
"10/18/2022","94.50","92.70","96.00","89.00","502.33K","0.32%"
"10/17/2022","94.20","98.00","100.00","93.50","547.52K","-3.88%"
"10/14/2022","98.00","102.00","103.50","97.10","532.01K","-2.97%"
"10/13/2022","101.00","99.00","103.75","98.10","1.20M","1.61%"
"10/12/2022","99.40","85.00","99.50","82.00","2.19M","15.58%"
"10/11/2022","86.00","96.00","96.00","85.10","1.27M","-11.89%"
"10/07/2022","97.60","97.50","101.00","94.00","975.43K","-1.41%"
"10/06/2022","99.00","104.50","104.50","98.10","1.17M","-5.26%"
"10/05/2022","104.50","102.00","108.75","100.00","1.31M","2.45%"
"10/04/2022","102.00","105.00","107.75","96.10","2.71M","-2.86%"
"10/03/2022","105.00","115.00","115.00","104.25","1.05M","-8.70%"
"09/30/2022","115.00","114.50","116.25","113.50","582.55K","0.44%"
"09/29/2022","114.50","116.50","118.50","112.50","1.07M","-1.29%"
"09/28/2022","116.00","122.00","124.50","115.00","3.84M","-3.33%"
"09/27/2022","120.00","108.00","121.00","104.00","4.70M","11.37%"
"09/26/2022","107.75","109.00","109.00","105.00","1.54M","-1.37%"
"09/23/2022","109.25","110.00","111.00","106.00","1.27M","0.23%"
"09/22/2022","109.00","112.00","117.25","109.00","2.67M","-0.91%"
"09/21/2022","110.00","97.60","111.00","93.90","3.02M","12.82%"
"09/20/2022","97.50","101.50","101.50","95.80","1.48M","-3.47%"
"09/19/2022","101.00","100.00","104.25","98.00","3.26M","3.70%"
"09/16/2022","97.40","90.00","97.50","89.50","2.93M","8.46%"
"09/15/2022","89.80","79.60","89.80","79.50","3.46M","12.39%"
"09/14/2022","79.90","82.00","83.00","79.40","712.23K","-2.68%"
"09/13/2022","82.10","81.50","83.40","78.00","1.84M","2.62%"
"09/12/2022","80.00","80.00","84.00","79.20","2.58M","2.30%"
"09/09/2022","78.20","72.00","78.40","72.00","2.15M","9.83%"
"09/08/2022","71.20","70.00","71.40","67.00","726.63K","2.01%"
"09/07/2022","69.80","66.00","70.00","65.70","886.26K","6.89%"
"09/06/2022","65.30","66.60","67.00","64.20","394.63K","-2.54%"
"09/05/2022","67.00","67.20","67.20","65.90","281.14K","-2.19%"
"09/02/2022","68.50","70.00","70.70","67.50","436.24K","-2.14%"
"09/01/2022","70.00","70.00","71.00","68.90","868.10K","3.24%"
"08/31/2022","67.80","65.00","68.20","65.00","890.60K","6.94%"
"08/30/2022","63.40","61.00","64.30","58.70","582.32K","5.67%"
"08/29/2022","60.00","63.00","63.00","59.50","385.45K","-4.61%"
"08/26/2022","62.90","63.50","64.00","60.60","392.01K","-0.16%"
"08/25/2022","63.00","69.00","69.00","63.00","419.91K","-9.22%"
"08/24/2022","69.40","70.50","71.00","66.10","457.44K","0.14%"
"08/23/2022","69.30","71.50","72.00","68.00","480.48K","-2.81%"
"08/22/2022","71.30","73.10","75.00","69.10","704.45K","-2.46%"
"08/19/2022","73.10","75.00","76.90","72.50","493.70K","-1.62%"
"08/18/2022","74.30","76.00","77.00","72.90","502.82K","-2.24%"
"08/17/2022","76.00","78.00","79.90","72.20","1.32M","-0.52%"
"08/16/2022","76.40","75.00","79.00","70.10","4.27M","12.52%"
"08/15/2022","67.90","65.10","71.70","65.10","2.39M","9.87%"
"08/12/2022","61.80","56.00","63.80","56.00","2.20M","12.57%"
"08/10/2022","54.90","49.90","56.50","49.50","2.30M","12.04%"
"08/09/2022","49.00","46.90","49.80","46.90","1.54M","5.38%"
"08/08/2022","46.50","46.00","47.00","44.70","447.24K","0.43%"
"08/05/2022","46.30","46.50","48.00","45.00","1.26M","-1.07%"
"08/04/2022","46.80","49.90","50.10","46.60","2.20M","-3.51%"
"08/03/2022","48.50","44.30","48.80","44.30","4.36M","14.66%"
"08/02/2022","42.30","38.00","42.60","38.00","3.90M","14.32%"
"08/01/2022","37.00","37.70","38.00","36.50","516.41K","-1.33%"
"07/29/2022","37.50","35.70","37.50","35.00","429.75K","5.63%"
"07/28/2022","35.50","36.90","37.00","35.20","443.97K","-4.05%"
"07/27/2022","37.00","37.90","37.90","36.00","33.25K","1.37%"
"07/26/2022","36.50","37.90","37.90","36.50","97.54K","-1.35%"
"07/25/2022","37.00","38.00","38.00","36.70","77.57K","-1.33%"
"07/22/2022","37.50","38.00","38.00","37.00","82.77K","-1.32%"
"07/21/2022","38.00","39.50","39.50","37.00","216.68K","0.00%"
"07/20/2022","38.00","39.00","39.20","37.80","276.27K","0.00%"
"07/19/2022","38.00","38.90","38.90","38.00","116.31K","1.88%"
"07/18/2022","37.30","38.20","38.20","37.00","190.08K","0.00%"
"07/15/2022","37.30","38.20","38.20","36.80","261.65K","1.08%"
"07/14/2022","36.90","38.00","38.00","36.80","16.45K","-2.89%"
"07/12/2022","38.00","39.00","39.00","37.00","129.62K","2.43%"
"07/11/2022","37.10","35.50","39.00","35.50","220.24K","5.40%"
"07/08/2022","35.20","36.50","36.50","35.00","129.76K","2.03%"
"07/07/2022","34.50","35.00","36.00","34.40","544.34K","-3.63%"
"07/06/2022","35.80","38.00","38.00","34.50","172.14K","-5.79%"
"07/05/2022","38.00","40.00","40.00","37.00","99.82K","-1.30%"
"07/04/2022","38.50","39.00","40.00","38.50","115.16K","-2.28%"
"07/01/2022","39.40","39.00","39.70","38.80","9.57K","1.29%"
"06/30/2022","38.90","40.50","40.50","38.20","11.73K","-1.52%"
"06/29/2022","39.50","39.00","41.70","39.00","16.51K","-1.00%"
"06/28/2022","39.90","40.00","40.00","39.00","34.95K","0.00%"
"06/27/2022","39.90","42.40","42.40","39.80","115.65K","-6.78%"
"06/24/2022","42.80","41.90","42.90","41.10","39.82K","2.15%"
"06/23/2022","41.90","41.90","41.90","40.00","76.51K","2.20%"
"06/22/2022","41.00","41.90","41.90","40.00","11.95K","-1.20%"
"06/21/2022","41.50","39.00","42.00","39.00","83.15K","7.51%"
"06/20/2022","38.60","38.30","39.10","37.50","49.04K","-1.03%"
"06/17/2022","39.00","39.10","39.50","38.40","229.46K","-2.50%"
"06/16/2022","40.00","41.40","41.50","39.00","254.30K","-4.31%"
"06/15/2022","41.80","43.00","43.00","41.50","68.87K","-2.79%"
"06/13/2022","43.00","44.00","44.50","42.60","25.11K","0.00%"
"06/10/2022","43.00","42.60","43.80","42.00","80.67K","2.38%"
"06/09/2022","42.00","42.00","43.00","41.00","93.68K","0.00%"
"06/08/2022","42.00","40.20","42.50","40.20","35.07K","0.00%"
"06/07/2022","42.00","41.80","43.00","39.00","237.40K","0.24%"
"06/06/2022","41.90","44.30","45.00","40.00","111.88K","-5.84%"
"06/03/2022","44.50","44.50","45.50","43.50","132.47K","0.23%"
"06/02/2022","44.40","45.00","45.50","43.10","84.90K","1.60%"
"06/01/2022","43.70","45.90","45.90","43.00","276.65K","-2.67%"
"05/31/2022","44.90","49.40","49.50","44.50","515.42K","3.94%"
"05/30/2022","43.20","46.10","46.10","43.00","178.15K","-6.09%"
"05/27/2022","46.00","48.00","48.00","45.00","47.43K","-3.16%"
"05/26/2022","47.50","46.00","48.00","45.40","56.79K","-0.84%"
"05/25/2022","47.90","48.00","48.40","46.50","50.46K","1.27%"
"05/24/2022","47.30","49.90","49.90","47.10","85.40K","-2.27%"
"05/23/2022","48.40","48.00","50.00","47.20","184.94K","2.98%"
"05/20/2022","47.00","45.00","48.60","45.00","119.57K","0.00%"
"05/19/2022","47.00","51.90","51.90","40.50","123.07K","-4.08%"
"05/18/2022","49.00","50.00","58.80","48.20","475.87K","1.24%"
"05/17/2022","48.40","45.00","49.90","45.00","455.00K","5.22%"
"05/13/2022","46.00","43.00","46.90","41.30","497.18K","12.20%"
"05/12/2022","41.00","40.00","41.90","39.60","220.98K","4.86%"
"05/09/2022","39.10","39.50","40.90","39.00","63.75K","2.89%"
"05/06/2022","38.00","40.00","40.00","37.20","288.28K","-3.80%"
"05/05/2022","39.50","40.50","44.30","39.50","162.49K","-3.42%"
"05/04/2022","40.90","46.90","46.90","40.10","51.35K","2.51%"
"04/29/2022","39.90","48.00","48.80","39.90","143.72K","-7.21%"
"04/28/2022","43.00","44.00","45.00","40.00","263.20K","0.00%"
"04/27/2022","43.00","34.00","44.00","34.00","109.00K","30.30%"
"04/26/2022","33.00","38.00","38.00","33.00","173.08K","-17.50%"
"04/25/2022","40.00","45.00","45.00","40.00","119.25K","-15.79%"
"04/08/2022","47.50","50.00","52.00","46.00","217.85K","-4.62%"
"04/07/2022","49.80","55.10","55.50","49.60","208.83K","-12.63%"
"04/06/2022","57.00","62.80","62.80","56.00","56.45K","-8.36%"
"04/05/2022","62.20","60.00","62.50","57.00","140.82K","1.14%"
