"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","7.10","7.10","7.30","6.90","16.40M","0.00%"
"12/29/2022","7.10","6.90","7.20","6.70","12.25M","2.90%"
"12/28/2022","6.90","7.20","7.20","6.80","4.88M","-2.82%"
"12/27/2022","7.10","7.20","7.40","7.00","10.04M","0.00%"
"12/23/2022","7.10","6.60","7.20","6.40","8.44M","7.58%"
"12/22/2022","6.60","6.80","6.80","6.40","9.72M","-1.49%"
"12/21/2022","6.70","6.80","6.90","6.50","14.75M","-1.47%"
"12/20/2022","6.80","7.20","7.30","6.70","20.64M","-4.23%"
"12/19/2022","7.10","7.50","7.80","7.00","15.66M","-6.58%"
"12/16/2022","7.60","7.90","8.00","7.40","19.44M","-3.80%"
"12/15/2022","7.90","8.20","8.30","7.80","14.52M","-3.66%"
"12/14/2022","8.20","8.20","8.40","8.10","14.72M","0.00%"
"12/13/2022","8.20","8.10","8.30","7.90","18.65M","1.23%"
"12/12/2022","8.10","8.20","8.40","8.00","15.10M","0.00%"
"12/09/2022","8.10","8.00","8.40","7.90","26.75M","1.25%"
"12/08/2022","8.00","8.50","8.60","7.80","57.75M","-4.76%"
"12/06/2022","8.40","7.90","8.50","7.60","76.77M","9.09%"
"12/05/2022","7.70","7.30","7.90","7.30","45.13M","6.94%"
"12/02/2022","7.20","7.20","7.30","7.00","23.94M","1.41%"
"12/01/2022","7.10","7.60","7.70","7.00","31.17M","-5.33%"
"11/30/2022","7.50","6.70","7.70","6.60","76.73M","17.19%"
"11/29/2022","6.40","6.60","6.90","6.10","43.61M","1.59%"
"11/28/2022","6.30","5.30","6.40","5.30","33.01M","21.15%"
"11/25/2022","5.20","5.10","5.30","4.90","7.26M","4.00%"
"11/24/2022","5.00","5.20","5.30","4.90","5.78M","-3.85%"
"11/23/2022","5.20","5.10","5.60","4.90","11.85M","6.12%"
"11/22/2022","4.90","4.90","5.10","4.80","4.59M","0.00%"
"11/21/2022","4.90","4.80","4.90","4.60","5.42M","2.08%"
"11/18/2022","4.80","5.00","5.10","4.70","7.25M","-4.00%"
"11/17/2022","5.00","5.10","5.30","4.90","9.07M","-3.85%"
"11/16/2022","5.20","5.40","5.40","5.00","12.51M","-7.14%"
"11/15/2022","5.60","5.80","5.80","5.60","3.91M","-1.75%"
"11/14/2022","5.70","5.90","5.90","5.60","8.03M","-1.72%"
"11/11/2022","5.80","5.80","6.00","5.70","6.61M","0.00%"
"11/10/2022","5.80","5.80","6.00","5.80","7.59M","0.00%"
"11/09/2022","5.80","5.90","5.90","5.70","4.41M","0.00%"
"11/08/2022","5.80","6.00","6.10","5.80","4.69M","-1.69%"
"11/04/2022","5.90","6.00","6.20","5.90","4.89M","-3.28%"
"11/03/2022","6.10","6.00","6.20","5.90","9.95M","0.00%"
"11/02/2022","6.10","6.20","6.30","6.00","2.55M","1.67%"
"11/01/2022","6.00","6.00","6.30","6.00","6.23M","0.00%"
"10/31/2022","6.00","6.30","6.30","5.90","9.55M","-6.25%"
"10/28/2022","6.40","6.70","6.80","6.10","12.70M","-1.54%"
"10/27/2022","6.50","6.00","6.80","5.90","23.20M","10.17%"
"10/26/2022","5.90","6.00","6.00","5.80","7.02M","0.00%"
"10/25/2022","5.90","6.00","6.10","5.80","9.85M","0.00%"
"10/21/2022","5.90","6.00","6.00","5.90","6.04M","-1.67%"
"10/20/2022","6.00","6.10","6.10","5.90","6.25M","0.00%"
"10/19/2022","6.00","6.10","6.30","5.90","12.74M","-1.64%"
"10/18/2022","6.10","6.20","6.20","5.90","6.74M","0.00%"
"10/17/2022","6.10","6.50","6.50","6.00","5.87M","-3.17%"
"10/14/2022","6.30","6.70","6.80","6.20","7.92M","-4.55%"
"10/13/2022","6.60","6.40","6.70","6.30","7.93M","3.12%"
"10/12/2022","6.40","6.00","6.40","5.90","11.50M","6.67%"
"10/11/2022","6.00","6.40","6.50","5.90","18.12M","-6.25%"
"10/07/2022","6.40","6.50","6.60","6.20","16.21M","-3.03%"
"10/06/2022","6.60","6.90","6.90","6.50","10.27M","-4.35%"
"10/05/2022","6.90","7.00","7.10","6.70","12.86M","-1.43%"
"10/04/2022","7.00","7.20","7.20","6.80","13.20M","-1.41%"
"10/03/2022","7.10","7.50","7.70","7.10","10.60M","-6.58%"
"09/30/2022","7.60","7.60","7.70","7.50","6.58M","0.00%"
"09/29/2022","7.60","7.70","7.70","7.50","4.23M","-1.30%"
"09/28/2022","7.70","7.80","7.80","7.60","4.73M","-1.28%"
"09/27/2022","7.80","7.90","7.90","7.70","5.93M","0.00%"
"09/26/2022","7.80","7.90","7.90","7.70","6.88M","1.30%"
"09/23/2022","7.70","7.70","7.90","7.50","10.99M","-2.53%"
"09/22/2022","7.90","7.60","8.20","7.60","22.66M","5.33%"
"09/21/2022","7.50","7.60","7.80","7.50","11.30M","-2.60%"
"09/20/2022","7.70","7.70","7.80","7.50","9.55M","-1.28%"
"09/19/2022","7.80","8.00","8.00","7.70","11.66M","-1.27%"
"09/16/2022","7.90","7.90","7.90","7.70","6.67M","0.00%"
"09/15/2022","7.90","8.00","8.00","7.70","13.45M","0.00%"
"09/14/2022","7.90","7.90","8.30","7.80","32.18M","2.60%"
"09/13/2022","7.70","7.90","7.90","7.60","14.88M","-2.53%"
"09/12/2022","7.90","8.00","8.10","7.80","12.45M","-1.25%"
"09/09/2022","8.00","8.00","8.20","7.90","8.68M","0.00%"
"09/08/2022","8.00","8.00","8.20","7.90","13.15M","0.00%"
"09/07/2022","8.00","8.00","8.10","7.90","8.59M","0.00%"
"09/06/2022","8.00","8.20","8.20","7.90","8.72M","-1.23%"
"09/05/2022","8.10","8.40","8.60","8.00","31.00M","-2.41%"
"09/02/2022","8.30","7.80","8.40","7.60","24.31M","7.79%"
"09/01/2022","7.70","7.70","7.90","7.60","8.82M","1.32%"
"08/31/2022","7.60","7.60","7.90","7.50","8.98M","1.33%"
"08/30/2022","7.50","7.50","7.70","7.20","7.94M","0.00%"
"08/29/2022","7.50","7.60","7.90","7.50","3.31M","-1.32%"
"08/26/2022","7.60","7.80","7.90","7.50","7.78M","-2.56%"
"08/25/2022","7.80","7.90","8.00","7.70","5.34M","-1.27%"
"08/24/2022","7.90","8.10","8.10","7.80","8.90M","-2.47%"
"08/23/2022","8.10","8.30","8.30","8.00","9.60M","-2.41%"
"08/22/2022","8.30","8.30","8.40","8.20","9.70M","0.00%"
"08/19/2022","8.30","8.30","8.40","8.00","16.06M","1.22%"
"08/18/2022","8.20","8.40","8.40","8.00","10.34M","1.23%"
"08/17/2022","8.10","8.70","8.70","8.00","32.01M","-6.90%"
"08/16/2022","8.70","9.20","9.40","8.50","52.15M","-2.25%"
"08/15/2022","8.90","8.50","9.30","8.50","60.49M","5.95%"
"08/12/2022","8.40","7.80","8.40","7.80","41.76M","7.69%"
"08/10/2022","7.80","7.80","7.90","7.70","14.02M","1.30%"
"08/09/2022","7.70","7.70","7.90","7.60","16.95M","0.00%"
"08/08/2022","7.70","7.70","7.80","7.50","11.18M","0.00%"
"08/05/2022","7.70","8.00","8.00","7.50","18.15M","-2.53%"
"08/04/2022","7.90","7.90","8.10","7.80","24.08M","2.60%"
"08/03/2022","7.70","7.30","7.70","7.30","21.35M","5.48%"
"08/02/2022","7.30","7.00","7.30","6.90","13.05M","4.29%"
"08/01/2022","7.00","7.00","7.30","6.90","14.18M","-1.41%"
