"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","56.20","56.20","57.50","56.20","8.06K","0.18%"
"12/29/2022","56.10","56.50","56.50","56.00","2.37K","-0.88%"
"12/28/2022","56.60","58.80","58.80","56.60","22.57K","-3.74%"
"12/27/2022","58.80","55.10","59.10","55.10","299.57K","6.91%"
"12/23/2022","55.00","55.20","56.00","55.00","14.07K","-3.51%"
"12/22/2022","57.00","57.10","58.00","56.00","3.66K","-1.72%"
"12/21/2022","58.00","57.50","58.00","56.50","423.00K","0.87%"
"12/20/2022","57.50","57.50","58.50","57.50","149.84K","0.00%"
"12/19/2022","57.50","58.70","58.70","57.20","6.64K","-2.21%"
"12/16/2022","58.80","57.20","58.80","57.20","254.53K","1.03%"
"12/15/2022","58.20","58.90","58.90","57.10","58.45K","1.93%"
"12/14/2022","57.10","57.50","57.50","57.10","56.41K","-0.52%"
"12/13/2022","57.40","57.30","57.40","57.00","37.32K","0.35%"
"12/12/2022","57.20","58.00","58.00","57.10","13.65K","0.00%"
"12/09/2022","57.20","59.40","59.40","56.60","3.90K","-1.38%"
"12/08/2022","58.00","56.60","59.00","56.60","122.12K","0.00%"
"12/06/2022","58.00","56.50","58.00","56.50","85.83K","0.87%"
"12/05/2022","57.50","57.40","57.80","56.10","23.49K","0.88%"
"12/02/2022","57.00","56.00","57.00","55.00","89.66K","1.79%"
"12/01/2022","56.00","57.00","57.00","55.50","20.53K","-0.36%"
"11/30/2022","56.20","56.20","56.90","56.20","19.11K","0.36%"
"11/29/2022","56.00","55.80","56.50","55.50","15.76K","0.00%"
"11/28/2022","56.00","56.50","56.50","55.50","16.02K","-0.88%"
"11/25/2022","56.50","56.00","56.50","55.00","20.94K","4.05%"
"11/24/2022","54.30","55.10","56.80","54.30","22.32K","-1.09%"
"11/23/2022","54.90","55.00","55.90","54.00","108.96K","-0.18%"
"11/22/2022","55.00","52.00","55.30","52.00","178.41K","2.23%"
"11/21/2022","53.80","52.00","53.80","51.00","414.99K","5.49%"
"11/18/2022","51.00","52.10","52.10","51.00","82.86K","-1.92%"
"11/17/2022","52.00","53.00","53.10","52.00","231.42K","-1.89%"
"11/16/2022","53.00","55.40","55.40","53.00","26.57K","-4.33%"
"11/15/2022","55.40","55.80","56.90","55.40","2.14M","-0.36%"
"11/14/2022","55.60","55.80","55.80","55.50","70.58K","0.18%"
