"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","135.75","136.00","136.00","135.00","581.40K","0.18%"
"12/29/2022","135.50","136.75","136.75","135.00","342.23K","-0.37%"
"12/28/2022","136.00","138.50","138.50","136.00","5.60K","-0.73%"
"12/27/2022","137.00","138.75","138.75","136.50","13.02K","0.74%"
"12/23/2022","136.00","137.75","139.00","135.50","132.24K","-1.45%"
"12/22/2022","138.00","139.00","139.50","138.00","1.08M","-1.08%"
"12/21/2022","139.50","139.50","140.00","139.00","272.77K","0.00%"
"12/20/2022","139.50","140.00","140.50","139.50","159.15K","-0.36%"
"12/19/2022","140.00","142.00","142.00","139.75","262.91K","-0.71%"
"12/16/2022","141.00","141.00","141.00","140.00","98.21K","0.00%"
"12/15/2022","141.00","142.00","142.00","140.50","102.37K","-0.70%"
"12/14/2022","142.00","141.00","143.00","141.00","57.69K","0.71%"
"12/13/2022","141.00","144.00","144.00","140.50","649.20K","-1.74%"
"12/12/2022","143.50","147.00","147.00","143.50","291.53K","-2.05%"
"12/09/2022","146.50","149.50","149.75","146.00","181.48K","-1.68%"
"12/08/2022","149.00","147.00","150.00","147.00","965.40K","1.36%"
"12/06/2022","147.00","143.75","147.50","143.75","393.72K","2.44%"
"12/05/2022","143.50","140.75","143.75","140.75","207.41K","2.32%"
"12/02/2022","140.25","139.75","141.00","139.75","570.85K","0.54%"
"12/01/2022","139.50","140.00","140.00","139.50","40.73K","-0.36%"
"11/30/2022","140.00","140.00","140.25","139.00","349.12K","0.00%"
"11/29/2022","140.00","140.00","141.00","139.50","388.05K","0.36%"
"11/28/2022","139.50","139.75","140.00","138.50","91.25K","-0.18%"
"11/25/2022","139.75","140.00","140.50","139.00","234.78K","0.18%"
"11/24/2022","139.50","139.50","140.00","138.50","459.71K","-0.36%"
"11/23/2022","140.00","139.50","141.00","139.00","95.05K","1.08%"
"11/22/2022","138.50","137.50","140.00","137.50","112.55K","0.36%"
"11/21/2022","138.00","137.50","138.00","136.25","1.31M","0.73%"
"11/18/2022","137.00","138.00","138.50","137.00","227.28K","-1.26%"
"11/17/2022","138.75","140.00","140.50","137.50","255.64K","-1.25%"
"11/16/2022","140.50","141.00","141.00","140.50","336.12K","-1.40%"
"11/15/2022","142.50","141.00","142.50","140.25","485.00K","1.79%"
"11/14/2022","140.00","139.75","140.25","137.75","204.37K","0.72%"
"11/11/2022","139.00","138.75","139.75","137.00","262.26K","-0.54%"
"11/10/2022","139.75","135.50","141.00","135.50","627.39K","2.76%"
"11/09/2022","136.00","133.00","137.00","132.50","665.73K","2.64%"
"11/08/2022","132.50","130.50","132.75","129.00","545.81K","2.51%"
"11/04/2022","129.25","130.00","130.00","129.00","26.15K","-0.58%"
"11/03/2022","130.00","130.50","130.50","129.00","45.79K","-0.38%"
"11/02/2022","130.50","131.00","131.00","130.25","310.81K","-0.38%"
"11/01/2022","131.00","132.00","132.50","130.75","423.79K","-0.76%"
"10/31/2022","132.00","134.00","134.00","132.00","167.24K","-1.49%"
"10/28/2022","134.00","134.25","135.00","133.00","184.23K","0.75%"
"10/27/2022","133.00","130.00","134.00","130.00","270.44K","2.31%"
"10/26/2022","130.00","130.00","131.00","129.25","783.79K","0.78%"
"10/25/2022","129.00","133.00","133.00","129.00","3.27M","0.19%"
"10/21/2022","128.75","129.50","130.00","128.75","580.27K","-0.96%"
"10/20/2022","130.00","130.25","132.00","129.50","340.91K","-0.76%"
"10/19/2022","131.00","130.75","132.50","130.75","100.38K","0.00%"
"10/18/2022","131.00","131.75","131.75","129.50","503.27K","-0.57%"
"10/17/2022","131.75","133.00","133.00","131.00","105.84K","-0.19%"
"10/14/2022","132.00","131.00","132.50","131.00","89.29K","0.76%"
"10/13/2022","131.00","129.00","131.00","129.00","432.63K","1.95%"
"10/12/2022","128.50","129.00","129.00","127.50","538.02K","-0.39%"
"10/11/2022","129.00","133.00","133.00","128.00","364.20K","-0.39%"
"10/07/2022","129.50","130.00","130.00","128.00","545.43K","0.39%"
"10/06/2022","129.00","130.25","130.75","129.00","366.30K","-0.77%"
"10/05/2022","130.00","130.00","135.00","129.75","1.17M","0.00%"
"10/04/2022","130.00","135.00","135.00","128.25","1.07M","-3.70%"
"10/03/2022","135.00","138.00","138.00","135.00","184.71K","-1.82%"
"09/30/2022","137.50","137.75","138.25","137.00","277.27K","0.00%"
"09/29/2022","137.50","138.25","139.75","136.00","161.25K","0.00%"
"09/28/2022","137.50","138.00","138.25","137.00","126.71K","-0.36%"
"09/27/2022","138.00","140.00","140.00","137.00","246.97K","-1.25%"
"09/26/2022","139.75","142.00","143.00","139.75","648.91K","-2.10%"
"09/23/2022","142.75","143.50","143.50","142.00","910.47K","-0.52%"
"09/22/2022","143.50","144.00","144.50","142.25","570.20K","-0.35%"
"09/21/2022","144.00","143.50","145.00","143.00","594.47K","0.17%"
"09/20/2022","143.75","144.75","147.00","143.00","970.03K","1.23%"
"09/19/2022","142.00","147.00","147.00","141.75","324.57K","-3.40%"
"09/16/2022","147.00","155.00","155.00","146.00","1.25M","-3.76%"
"09/15/2022","152.75","151.00","157.00","149.50","3.66M","7.57%"
"09/14/2022","142.00","133.00","143.00","133.00","969.91K","6.57%"
"09/13/2022","133.25","134.50","134.50","132.50","418.83K","0.00%"
"09/12/2022","133.25","132.50","135.00","132.00","290.57K","0.95%"
"09/09/2022","132.00","127.00","132.00","127.00","2.41M","4.76%"
"09/08/2022","126.00","124.75","127.00","124.50","1.14M","0.80%"
"09/07/2022","125.00","124.50","126.75","124.50","44.18K","0.00%"
"09/06/2022","125.00","127.00","127.00","124.25","146.85K","-1.38%"
"09/05/2022","126.75","129.00","129.00","125.00","32.03K","-1.17%"
"09/02/2022","128.25","129.50","129.75","128.00","227.78K","0.20%"
"09/01/2022","128.00","129.75","129.75","128.00","450.45K","0.79%"
"08/31/2022","127.00","126.50","130.00","125.50","332.89K","0.40%"
"08/30/2022","126.50","124.25","126.50","122.50","165.88K","2.85%"
"08/29/2022","123.00","126.00","126.00","122.75","128.70K","-0.81%"
"08/26/2022","124.00","123.00","127.50","121.00","71.74K","0.81%"
"08/25/2022","123.00","125.00","125.00","122.50","110.43K","-1.60%"
"08/24/2022","125.00","125.00","125.00","123.50","43.89K","0.00%"
"08/23/2022","125.00","127.00","127.00","124.75","2.59M","-1.57%"
"08/22/2022","127.00","128.00","128.00","126.25","391.21K","-0.78%"
"08/19/2022","128.00","128.50","128.75","127.50","554.62K","-0.19%"
"08/18/2022","128.25","128.00","128.50","127.25","230.01K","0.20%"
"08/17/2022","128.00","130.00","130.00","127.50","97.31K","-1.54%"
"08/16/2022","130.00","129.75","131.00","129.50","825.74K","0.00%"
"08/15/2022","130.00","128.00","133.00","128.00","783.50K","1.36%"
"08/12/2022","128.25","125.00","128.25","124.00","2.35M","3.43%"
"08/10/2022","124.00","119.50","124.00","119.50","1.71M","3.98%"
"08/09/2022","119.25","120.00","121.75","119.00","2.12M","0.21%"
"08/08/2022","119.00","119.00","119.25","118.50","1.67M","0.00%"
"08/05/2022","119.00","120.00","121.00","118.75","1.82M","-0.83%"
"08/04/2022","120.00","119.50","121.00","119.00","564.28K","0.84%"
"08/03/2022","119.00","120.00","120.00","119.00","630.89K","-0.21%"
"08/02/2022","119.25","120.00","121.00","119.25","699.23K","0.00%"
"08/01/2022","119.25","122.00","122.00","119.00","287.96K","-0.83%"
"07/29/2022","120.25","121.00","122.00","120.00","83.89K","0.21%"
"07/28/2022","120.00","122.00","122.00","120.00","106.26K","-0.41%"
"07/27/2022","120.50","121.00","121.00","120.50","31.92K","0.21%"
"07/26/2022","120.25","121.25","121.25","119.75","22.85K","-0.82%"
"07/25/2022","121.25","121.00","121.25","118.75","199.62K","0.62%"
"07/22/2022","120.50","122.00","122.00","120.00","155.36K","-0.21%"
"07/21/2022","120.75","122.00","122.00","120.00","363.75K","0.21%"
"07/20/2022","120.50","123.00","123.00","120.50","52.41K","-1.23%"
"07/19/2022","122.00","123.00","123.75","122.00","226.93K","0.00%"
"07/18/2022","122.00","123.00","124.00","120.50","140.65K","0.41%"
"07/15/2022","121.50","123.00","123.00","121.50","310.15K","-1.22%"
"07/14/2022","123.00","123.00","123.00","121.75","24.61K","0.00%"
"07/12/2022","123.00","123.00","124.00","123.00","70.44K","0.00%"
"07/11/2022","123.00","122.25","123.00","121.75","30.20K","0.82%"
"07/08/2022","122.00","121.50","123.00","121.50","8.52K","0.00%"
"07/07/2022","122.00","123.75","123.75","121.75","334.97K","-0.81%"
"07/06/2022","123.00","120.25","124.00","120.25","626.47K","2.07%"
"07/05/2022","120.50","122.00","123.00","120.25","27.84K","-1.23%"
"07/04/2022","122.00","125.00","125.00","120.25","173.28K","-0.20%"
"07/01/2022","122.25","122.50","124.00","121.75","638.18K","0.20%"
"06/30/2022","122.00","122.00","122.00","121.75","20.46K","0.00%"
"06/29/2022","122.00","122.25","123.50","122.00","76.86K","-1.21%"
"06/28/2022","123.50","122.00","123.50","122.00","27.04K","1.23%"
"06/27/2022","122.00","123.75","123.75","122.00","67.82K","-1.41%"
"06/24/2022","123.75","121.50","125.00","121.50","715.61K","1.85%"
"06/23/2022","121.50","121.25","125.50","121.25","230.67K","-2.80%"
"06/22/2022","125.00","121.00","125.00","121.00","58.57K","3.73%"
"06/21/2022","120.50","120.00","124.00","120.00","127.63K","-0.41%"
"06/20/2022","121.00","121.00","121.00","120.00","121.19K","-0.21%"
"06/17/2022","121.25","124.00","124.00","121.00","241.78K","-2.22%"
"06/16/2022","124.00","125.00","125.00","123.75","349.79K","0.00%"
"06/15/2022","124.00","125.00","125.00","123.50","221.24K","-0.80%"
"06/13/2022","125.00","125.00","126.00","124.50","110.19K","0.81%"
"06/10/2022","124.00","126.00","126.00","124.00","300.45K","-1.20%"
"06/09/2022","125.50","125.00","126.00","125.00","8.79K","0.40%"
"06/08/2022","125.00","125.50","126.00","124.75","697.10K","-1.57%"
"06/07/2022","127.00","123.50","127.00","122.50","511.47K","2.83%"
"06/06/2022","123.50","126.00","126.00","123.00","205.77K","-1.00%"
"06/03/2022","124.75","126.25","127.00","124.75","36.20K","-0.99%"
"06/02/2022","126.00","125.00","129.75","124.75","19.33K","1.61%"
"06/01/2022","124.00","125.00","125.00","122.00","137.28K","0.20%"
"05/31/2022","123.75","124.00","125.00","123.75","302.63K","-0.20%"
"05/30/2022","124.00","126.00","128.00","124.00","555.52K","-1.59%"
"05/27/2022","126.00","129.00","129.00","125.00","531.67K","-1.95%"
"05/26/2022","128.50","130.75","130.75","128.25","84.98K","-2.28%"
"05/25/2022","131.50","133.00","133.00","130.25","284.08K","-1.13%"
"05/24/2022","133.00","138.00","138.00","132.75","109.82K","0.00%"
"05/23/2022","133.00","135.50","135.50","132.50","467.27K","-1.85%"
"05/20/2022","135.50","135.00","136.00","132.00","23.77K","1.12%"
"05/19/2022","134.00","135.50","135.50","133.00","57.75K","-0.92%"
"05/18/2022","135.25","134.75","138.50","134.00","85.69K","1.69%"
"05/17/2022","133.00","138.00","138.00","131.00","32.40K","4.11%"
"05/13/2022","127.75","129.00","140.00","127.00","135.33K","2.82%"
"05/12/2022","124.25","125.00","125.00","123.50","150.97K","-0.60%"
"05/09/2022","125.00","120.00","125.00","120.00","35.08K","0.20%"
"05/06/2022","124.75","128.00","128.00","124.00","27.35K","-3.29%"
"05/05/2022","129.00","123.50","129.75","123.50","793.86K","4.03%"
"05/04/2022","124.00","124.00","125.00","121.75","93.85K","1.85%"
"04/29/2022","121.75","122.00","135.00","121.75","59.29K","0.00%"
"04/28/2022","121.75","122.25","122.25","118.75","858.11K","-2.60%"
"04/27/2022","125.00","116.25","129.00","116.25","186.21K","4.17%"
"04/26/2022","120.00","117.00","120.00","117.00","33.63K","2.56%"
"04/25/2022","117.00","135.00","135.00","117.00","64.41K","-16.43%"
"04/08/2022","140.00","141.00","141.75","139.00","347.80K","-1.41%"
"04/07/2022","142.00","145.00","145.00","141.50","38.37K","-2.07%"
"04/06/2022","145.00","149.50","149.50","144.50","1.32M","-1.36%"
"04/05/2022","147.00","142.00","150.00","142.00","170.35K","-0.34%"
"04/04/2022","147.50","145.00","150.00","135.00","186.29K","19.19%"
"04/01/2022","123.75","144.00","170.00","123.75","67.55K","-14.06%"
"03/31/2022","144.00","145.00","146.00","143.00","435.34K","-1.37%"
"03/30/2022","146.00","152.00","152.00","142.00","839.24K","-5.19%"
"03/29/2022","154.00","154.75","156.00","150.00","596.64K","-0.65%"
"03/28/2022","155.00","158.50","158.50","154.00","400.42K","-1.27%"
"03/25/2022","157.00","157.50","158.00","156.00","2.33M","0.64%"
"03/24/2022","156.00","157.50","158.00","156.00","740.45K","-0.64%"
"03/23/2022","157.00","157.00","158.00","155.00","2.39M","0.00%"
"03/22/2022","157.00","157.50","157.50","155.00","68.84K","0.00%"
"03/21/2022","157.00","156.00","157.50","153.00","477.87K","0.64%"
"03/18/2022","156.00","151.75","158.00","151.00","237.27K","4.00%"
"03/16/2022","150.00","145.25","152.75","145.25","391.46K","2.74%"
"03/15/2022","146.00","146.50","148.00","145.00","33.15K","-1.68%"
"03/14/2022","148.50","151.00","151.00","145.00","75.57K","-1.49%"
"03/11/2022","150.75","150.00","151.00","149.00","389.95K","0.33%"
"03/10/2022","150.25","141.25","150.75","140.25","150.60K","6.37%"
"03/09/2022","141.25","143.00","143.00","141.00","712.38K","-1.05%"
"03/08/2022","142.75","145.50","146.00","142.50","396.72K","-0.87%"
"03/07/2022","144.00","146.00","146.75","144.00","1.06M","-0.69%"
"03/04/2022","145.00","146.00","146.50","145.00","346.13K","-0.68%"
"03/03/2022","146.00","148.00","148.00","145.00","153.79K","-2.34%"
"03/02/2022","149.50","149.00","149.50","147.00","140.26K","0.34%"
"02/28/2022","149.00","148.00","149.50","146.75","354.02K","1.36%"
"02/25/2022","147.00","145.00","148.00","143.00","326.72K","1.38%"
"02/24/2022","145.00","149.00","149.00","144.00","260.53K","-2.68%"
"02/23/2022","149.00","149.00","150.00","144.00","415.87K","-0.50%"
