"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2022","15.90","16.50","16.50","15.80","179.36K","-3.64%"
"12/05/2022","16.50","17.00","17.50","16.00","263.92K","-5.71%"
"12/02/2022","17.50","18.10","18.10","16.70","61.43K","-3.31%"
"12/01/2022","18.10","18.50","19.00","17.00","158.12K","-2.16%"
"11/30/2022","18.50","16.10","18.90","15.50","372.12K","15.63%"
"11/29/2022","16.00","15.90","16.30","15.50","22.46K","0.00%"
"11/28/2022","16.00","16.00","16.30","15.90","43.27K","-1.84%"
"11/25/2022","16.30","15.70","16.50","15.50","103.90K","1.87%"
"11/24/2022","16.00","16.50","16.50","15.60","28.24K","-1.84%"
"11/23/2022","16.30","16.20","16.50","15.80","49.07K","0.62%"
"11/22/2022","16.20","16.50","16.50","15.50","11.63K","1.25%"
"11/21/2022","16.00","16.50","16.50","14.50","77.07K","1.91%"
"11/18/2022","15.70","16.60","16.60","15.00","77.61K","-5.42%"
"11/17/2022","16.60","16.60","16.90","16.00","27.88K","0.00%"
"11/16/2022","16.60","16.90","17.20","16.50","58.31K","0.61%"
"11/15/2022","16.50","17.00","17.40","16.50","54.83K","-2.94%"
"11/14/2022","17.00","18.60","18.60","16.50","103.07K","-4.49%"
"11/11/2022","17.80","16.30","18.00","16.20","371.67K","10.56%"
"11/10/2022","16.10","16.30","16.30","16.00","16.46K","1.26%"
"11/09/2022","15.90","17.20","17.20","15.00","358.47K","-6.47%"
"11/08/2022","17.00","17.50","17.50","16.50","14.55K","-1.73%"
"11/04/2022","17.30","17.20","17.50","17.00","134.75K","0.00%"
"11/03/2022","17.30","17.20","17.50","16.50","149.21K","-1.14%"
"11/02/2022","17.50","17.50","18.20","17.00","66.56K","-2.78%"
"11/01/2022","18.00","18.00","18.00","17.50","100.99K","0.00%"
"10/31/2022","18.00","17.90","18.40","17.80","165.62K","1.12%"
"10/28/2022","17.80","19.00","19.00","17.60","352.18K","-6.32%"
"10/27/2022","19.00","19.20","19.20","18.70","126.10K","2.70%"
"10/26/2022","18.50","19.00","19.40","18.50","22.98K","0.00%"
"10/25/2022","18.50","19.70","19.80","18.50","58.11K","-6.57%"
"10/21/2022","19.80","19.80","20.00","19.80","34.12K","0.51%"
"10/20/2022","19.70","20.50","20.50","19.60","61.04K","-1.50%"
"10/19/2022","20.00","21.00","21.70","20.00","399.83K","-4.76%"
"10/18/2022","21.00","21.00","22.00","21.00","49.96K","-3.67%"
"10/17/2022","21.80","20.10","22.20","20.10","149.94K","2.35%"
"10/14/2022","21.30","22.50","22.90","20.00","183.58K","-4.48%"
"10/13/2022","22.30","22.00","22.90","21.00","41.45K","1.36%"
"10/12/2022","22.00","21.10","22.00","20.00","193.42K","4.27%"
"10/11/2022","21.10","22.90","22.90","21.00","23.58K","-4.09%"
"10/07/2022","22.00","22.00","22.90","21.10","134.53K","0.00%"
"10/06/2022","22.00","24.00","24.00","22.00","104.56K","-7.95%"
"10/05/2022","23.90","23.00","23.90","22.60","11.12K","6.22%"
"10/04/2022","22.50","23.90","23.90","20.50","32.92K","-6.25%"
"10/03/2022","24.00","23.90","24.70","23.90","11.54K","-3.61%"
"09/30/2022","24.90","25.40","25.60","24.00","140.19K","-1.58%"
"09/29/2022","25.30","25.50","25.50","24.50","160.99K","-0.78%"
"09/28/2022","25.50","26.00","26.00","24.90","455.56K","-1.92%"
"09/27/2022","26.00","26.00","26.20","25.50","44.96K","0.00%"
"09/26/2022","26.00","26.70","26.80","25.00","117.74K","1.56%"
"09/23/2022","25.60","26.00","26.80","25.60","144.73K","-3.76%"
"09/22/2022","26.60","26.70","28.00","25.90","247.77K","0.38%"
"09/21/2022","26.50","27.00","27.40","25.70","74.62K","-2.57%"
"09/20/2022","27.20","27.90","28.10","26.80","88.38K","-5.88%"
"09/19/2022","28.90","28.60","29.30","27.50","109.04K","5.09%"
"09/16/2022","27.50","28.30","28.30","27.40","105.90K","-1.79%"
"09/15/2022","28.00","28.00","29.30","27.40","123.69K","1.82%"
"09/14/2022","27.50","28.00","28.40","27.50","46.42K","-2.48%"
"09/13/2022","28.20","29.60","29.60","28.00","29.47K","-2.76%"
"09/12/2022","29.00","27.20","30.00","27.20","244.10K","7.41%"
"09/09/2022","27.00","27.70","28.90","27.00","259.72K","-3.57%"
"09/08/2022","28.00","28.50","28.90","27.50","227.79K","-1.06%"
"09/07/2022","28.30","29.50","29.50","27.50","95.06K","-3.08%"
"09/06/2022","29.20","30.00","30.00","28.00","165.25K","0.69%"
"09/05/2022","29.00","29.10","31.60","29.00","276.91K","3.57%"
"09/02/2022","28.00","29.80","30.00","28.00","109.22K","-5.72%"
"09/01/2022","29.70","29.00","30.00","28.80","319.13K","4.21%"
"08/31/2022","28.50","28.90","28.90","27.00","89.38K","2.52%"
"08/30/2022","27.80","28.40","28.90","26.20","42.24K","2.96%"
"08/29/2022","27.00","28.50","28.50","27.00","46.37K","-4.93%"
"08/26/2022","28.40","29.00","29.40","26.10","190.67K","-2.07%"
"08/25/2022","29.00","29.60","30.00","28.00","88.62K","-2.03%"
"08/24/2022","29.60","31.00","31.30","29.00","587.70K","-4.82%"
"08/23/2022","31.10","32.00","32.80","31.00","115.12K","-4.89%"
"08/22/2022","32.70","31.70","32.70","30.00","316.66K","3.15%"
"08/19/2022","31.70","30.60","32.40","30.00","252.78K","2.26%"
"08/18/2022","31.00","32.70","33.40","30.10","225.92K","-2.82%"
"08/17/2022","31.90","35.00","35.00","29.70","1.08M","-0.62%"
"08/16/2022","32.10","34.90","35.40","29.60","2.26M","-3.31%"
"08/15/2022","33.20","27.50","33.20","27.40","2.90M","22.96%"
"08/12/2022","27.00","23.80","27.30","23.60","673.12K","15.88%"
"08/10/2022","23.30","24.00","24.00","22.70","21.52K","-0.85%"
"08/09/2022","23.50","22.50","24.00","22.50","269.02K","0.00%"
"08/08/2022","23.50","24.00","26.30","23.30","62.98K","2.17%"
"08/05/2022","23.00","25.00","26.80","23.00","233.48K","-7.63%"
"08/04/2022","24.90","24.00","24.90","23.70","330.14K","5.51%"
"08/03/2022","23.60","23.90","24.80","23.00","14.74K","-1.67%"
"08/02/2022","24.00","23.00","24.00","22.00","180.60K","8.60%"
"08/01/2022","22.10","23.00","23.00","22.10","8.83K","-3.91%"
"07/29/2022","23.00","23.60","23.60","22.50","18.88K","0.00%"
"07/28/2022","23.00","23.00","23.80","22.50","38.06K","0.00%"
"07/27/2022","23.00","24.00","25.00","23.00","272.39K","-4.17%"
"07/26/2022","24.00","24.70","24.70","24.00","13.11K","0.00%"
"07/25/2022","24.00","24.50","24.70","24.00","4.33K","0.00%"
"07/22/2022","24.00","25.40","25.40","24.00","21.22K","0.42%"
"07/21/2022","23.90","23.20","25.00","23.20","31.39K","3.91%"
"07/20/2022","23.00","24.50","24.90","23.00","42.04K","-5.74%"
"07/19/2022","24.40","24.00","24.40","22.90","15.71K","3.83%"
"07/18/2022","23.50","22.90","24.20","22.90","3.95K","2.17%"
"07/15/2022","23.00","24.00","24.30","22.50","35.35K","-2.13%"
"07/14/2022","23.50","23.50","23.50","22.00","11.44K","-2.08%"
"07/12/2022","24.00","24.50","24.90","23.00","11.75K","-4.00%"
"07/11/2022","25.00","23.50","25.00","22.90","126.75K","7.76%"
"07/08/2022","23.20","21.10","23.60","21.10","82.73K","7.91%"
"07/07/2022","21.50","22.10","24.00","21.50","28.66K","-4.44%"
"07/06/2022","22.50","23.50","24.00","22.10","34.97K","-5.46%"
"07/05/2022","23.80","24.00","24.00","22.70","81.75K","-1.65%"
"07/04/2022","24.20","25.00","26.00","24.00","794.21K","-3.20%"
